IFNG_train,Tbet_train
1008.11,9.79
1001.44,10.61
1255.95,11.95
1404.03,13.04
1497.34,13.97
1238.57,12.62
395.83,1.15
338.17,0.71
352.84,0.36
322.42,0.65
279.11,0.78
331.64,1.67
671.35,2.03
613.21,1.92
699.5,1.92
564.3,1.52
556.75,2.54
677.57,3.34
979.36,3.7
847.99,4.31
953.19,4.49
957.03,6.1
799.28,6.24
892.46,6.26
