IFNG_train,GATA3_train
322.11,9.79
346.01,10.61
397.71,11.95
345.83,13.04
361.03,13.97
338.97,12.62
2047.46,1.15
1804.63,0.71
1802.2,0.36
1700.77,0.65
1664.92,0.78
1806.58,1.67
1463.43,2.03
1458.69,1.92
1565.89,1.92
1132.9,1.52
1056.45,2.54
1088.17,3.34
502.99,3.7
479.56,4.31
496.06,4.49
620.13,6.1
580.21,6.24
617.89,6.26
