IFNG_train,G_T_train
0.3195187033161064,9.79
0.3455124620546413,10.61
0.3166606950913651,11.95
0.24631240073217808,13.04
0.24111424259019326,13.97
0.2736785163535368,12.62
5.172574084834399,1.15
5.336457994499808,0.71
5.107697539961456,0.36
5.275013956950561,0.65
5.965103364264985,0.78
5.447412857315161,1.67
2.179831682430923,2.03
2.378777254121753,1.92
2.2385847033595425,1.92
2.0076200602516394,1.52
1.8975303098338574,2.54
1.6059890491019377,3.34
0.5135905080869139,3.7
0.565525536857746,4.31
0.5204209024433744,4.49
0.6479734177611988,6.1
0.7259158242418177,6.24
0.6923447549470004,6.26
