IL-4_train,GATA3_train
322.11,0.08
346.01,0.23
397.71,0.08
345.83,0.07
361.03,0.09
338.97,0.23
2047.46,31.94
1804.63,31.73
1802.2,32.79
1700.77,35.0
1664.92,34.76
1806.58,33.65
1463.43,23.27
1458.69,27.12
1565.89,29.08
1132.9,10.06
1056.45,9.08
1088.17,7.23
502.99,0.24
479.56,0.42
496.06,0.35
620.13,0.83
580.21,0.86
617.89,0.61
