IL-4_train,Tbet_train
1008.11,0.08
1001.44,0.23
1255.95,0.08
1404.03,0.07
1497.34,0.09
1238.57,0.23
395.83,31.94
338.17,31.73
352.84,32.79
322.42,35.0
279.11,34.76
331.64,33.65
671.35,23.27
613.21,27.12
699.5,29.08
564.3,10.06
556.75,9.08
677.57,7.23
979.36,0.24
847.99,0.42
953.19,0.35
957.03,0.83
799.28,0.86
892.46,0.61
